num,keyword,name,famous_for,link,rating_in_site,website,address,review,business_id,review_count,rating,open_hour,comment
10,The Smash Burger at Electric Owl,Electric Owl,The Smash Burger ,https://www.timeout.com/los-angeles/restaurants/electric-owl,no rating,http://www.electricowl.la,'1451 N Gardner St West Hollywood 90046',"
Los Angeles is home to a lot of gastropubs, but a gastropub that nails a perfect burger? Now that's a rarity. But in West Hollywood's Electric Owl, you'll find fantastic burgers smothered in house-made cheese, in addition to the selection of California-produce–inspired salads, pizzas, pastas and cocktails.
",ly7L13OVHcSOm1JSuFwKwg,383,4.0,"['On Monday open : 1130 close 1500 open overnight : False', 'On Monday open : 1615 close 2300 open overnight : False', 'On Tuesday open : 1130 close 1500 open overnight : False', 'On Tuesday open : 1615 close 2300 open overnight : False', 'On Wednesday open : 1130 close 1500 open overnight : False', 'On Wednesday open : 1615 close 2300 open overnight : False', 'On Thursday open : 1130 close 1500 open overnight : False', 'On Thursday open : 1615 close 2300 open overnight : False', 'On Friday open : 1000 close 1500 open overnight : False', 'On Friday open : 1615 close 0000 open overnight : False', 'On Saturday open : 1000 close 0000 open overnight : False', 'On Sunday open : 1000 close 2300 open overnight : False']","['This is a new find for me, had some work in West Hollywood and needed a place to eat. We happened upon the Electric Owl! Very comfortable setting, friendly...', 'Why the hell am I sitting inside, when I asked four times to sit outside? I waited 45 minutes to sit inside after requesting the patio. The pro of this...', 'I was here a few weeks ago to meet a friend for brunch. I started my review and moved on.\n\nThen, Yelp reminded me that I had an outstanding review and I...']"
11,Bacon Cheeseburger at Bill's Hamburgers,Bill's Hamburgers,Bacon Cheeseburger ,https://www.timeout.com/los-angeles/restaurants/bills-hamburgers,5,no_website,'14742 Oxnard St Los Angeles 91411',"
This weekday-only, retro burger counter has been serving the Valley since 1965. Husband and wife team Bill and Hiroko grill every burger (on a well-seasoned flattop) to order and their bacon cheeseburger ($5.30) could easily be the pin-up as the ultimate classic burger: A nicely seared patty, mayo, tomato, lettuce, crisp bacon strips and American cheese is sandwiched between griddled buns, served with ridged potato chips on the side. Regulars drop in for lunch at the counter or back patio, and veterans know to add grilled onions to their orders.
",0upo44caHvgYeA34PSNFRQ,703,4.5,"['On Tuesday open : 0830 close 1600 open overnight : False', 'On Wednesday open : 0830 close 1600 open overnight : False', 'On Thursday open : 0830 close 1600 open overnight : False', 'On Friday open : 0900 close 1600 open overnight : False']","[""My husband finally got to try Bill's burgers today since he's working from home due to the current happenings with CV...and today is     Tuesday...takeout..."", 'I am sorry, Bill. Your business model doesnt work in 21st century\nRight after I came the manager informed that I have to wait for about 30 (!) minutes to...', ""The prime definition of a hole in the wall. Surrounded by industrial looking buildings/businesses up the wazoo, Bill's Hamburgers dishes out simple, but...""]"
12,Office Burger at Father's Office,Father's Office,Office Burger ,https://www.timeout.com/los-angeles/restaurants/fathers-office-1,no rating,http://www.fathersoffice.com,'1018 Montana Ave Los Angeles 90403',"
This neighborhood staple (a touch smaller location than its Culver City locale) from renowned chef Sang Yoon is always loud and jam-packed. Expect to stand around with a beer in hand while mingling with friends—tables are first-come, first-served. The upscale bar food includes the messy, delicious cult-favorite Office burger with Applewood bacon, gruyere and maytag blue cheese. The beer menu is almost triple the length of the eats menu.
",wBeNozAR6wlJLTEwdWdPQg,6023,3.5,"['On Monday open : 1700 close 0000 open overnight : False', 'On Tuesday open : 1700 close 0000 open overnight : False', 'On Wednesday open : 1700 close 0000 open overnight : False', 'On Thursday open : 1700 close 0000 open overnight : False', 'On Friday open : 1200 close 0100 open overnight : True', 'On Saturday open : 1200 close 0100 open overnight : True', 'On Sunday open : 1200 close 2300 open overnight : False']","['We have been ordering from FO almost weekly since everything has gone into COVID lock down. Helms bakery has been making special treats daily, and we have...', 'Mouthwatering is an understatement when it comes to The Office Burger, from entry to exit brace yourself for a hamburger experience worthy of...', ""Fathers Office is legendary and it's silly how they only 3.5 stars. There are definitely too many overly emotional 1 and 2 star reviews on here.\n\nMy...""]"
13,Double HiHo at HiHo Cheeseburger,HiHo Cheeseburger,Double HiHo ,https://www.timeout.com/los-angeles/restaurants/hiho-cheeseburger,no rating,https://www.hiho.la,'1320 2nd St Santa Monica 90401',"
The burgers at HiHo aren't groundbreaking in flavor, but they're practically groundbreaking when it comes to sourcing: The meat is entirely wagyu, grass-fed, non-GMO and non-antibiotic, and the beef comes from cows raised by the certified-humane collective First Light Farm. The result? Tender, perfectly seared beef that almost melts on the tongue, and is easy on the conscience, too. You can go either double or triple (sorry, no singles here, unless you're opting for the house-made vegan patty), and go best with a side of those hand-cut, twice-fried fries.
",Z31Vy7P8B5y7gIw0fYeUGg,116,4.0,"['On Monday open : 1130 close 2200 open overnight : False', 'On Tuesday open : 1130 close 2200 open overnight : False', 'On Wednesday open : 1130 close 2200 open overnight : False', 'On Thursday open : 1130 close 2200 open overnight : False', 'On Friday open : 1130 close 2200 open overnight : False', 'On Saturday open : 1130 close 2200 open overnight : False', 'On Sunday open : 1130 close 2200 open overnight : False']","['I wanted HiHo because a buddy of mine has been talking them up for months.  My wife ordered postmates in store pick up for the family. I get there and they...', ""I've been looking to try HiHo Cheeseburgers for a while now, but had to wait until my recent trip to the US to have one.  Well, wouldn't you know it, but it..."", ""This burger is one of the best I've had in a looooonggg time. Ordered takeout due to COVID and food was ready when they said it would be. Not too expensive...""]"
14,The Royale at Oinkster,Oinkster,The Royale ,https://www.timeout.com/los-angeles/restaurants/oinkster,4,http://www.theoinkster.com,'2005 Colorado Blvd Los Angeles 90041',"
Journey over to the Oinkster for some extra-decadent takes on American classics by well-known chef Andre Guerrero. Order a slow-roasted pulled BBQ pork sandwich and crispy Belgian-style fries at this ""slow fast food"" joint. The garlic aioli and chipotle ketchup, made in-house for dipping fries in, truly elevate the standard side. Guy Fieri himself is a fan of the house-cured pastrami and slow-smoked pork, but we're also champions for The Oinkster's burgers, like The Royale (an Angus patty with bacon, chili and pastrami). Wash your food down with one of their draft beers—they have local, California craft brews to expand your culinary palette.
",df6TLmeTiLyzrKnAPKnn2w,3608,4.0,"['On Monday open : 1100 close 2200 open overnight : False', 'On Tuesday open : 1100 close 2200 open overnight : False', 'On Wednesday open : 1100 close 2200 open overnight : False', 'On Thursday open : 1100 close 2200 open overnight : False', 'On Friday open : 1100 close 2200 open overnight : False', 'On Saturday open : 1100 close 2200 open overnight : False', 'On Sunday open : 1100 close 2200 open overnight : False']","[""Super mega excellent tasty sandos here. Sometimes you want to say all this stuff but really here you don't have to. The covid 19 take out all dialed in and..."", 'My family enjoys this place, having been here twice before and enjoyed the burgers, pastrami, and shakes. I was set to order a whole meal here today and...', 'Quality, taste, price - best burgers in LA. \n\nI used to eat chili cheese everything from The Hat and swore it off all things chilli cheese for a good couple...']"
15,The Mister O's Burger at Mister O's,Mister O's,The Mister O's Burger ,https://www.timeout.com/los-angeles/restaurants/mister-os,no rating,https://misterosla.com,'11838 Ventura Blvd Studio City 91604',"
Mid-Century Modern decor meets Modern American cuisine in one of Studio City's best neighborhood restaurants. Mr. O's is the kind of place where you can curl up by the fire pit with a few hearty handmade pastas in the evening, or take bites of plum jam with whipped cheese on focaccia in the sunny dining room at brunch. If you're dining with a crew, you're in luck: Now you can order a little bit of everything, and if you're there on a Sunday night, there are family-style meals available.
",ma3MRxILFJZW9Ffr3CkAcQ,228,4.0,"['On Tuesday open : 1200 close 1900 open overnight : False', 'On Wednesday open : 1200 close 1900 open overnight : False', 'On Thursday open : 1200 close 1900 open overnight : False', 'On Friday open : 1200 close 1900 open overnight : False', 'On Saturday open : 1200 close 1900 open overnight : False']","[""I drove all the way to Studio City after work from\nDTLA to meet a friend for dinner at Mister O's. Trust me, it was worthwhile to deal with the bad..."", 'Cool atmosphere little slow for a Saturday night!  \n\nOrdered the burger it was pretty good event tho they forgot the aoli sauce and I asked for no salt on...', ""Came here on a Saturday night (10ish) and to my surprise there weren't too many people at the bar or dining. I say to my surprise because it is such a cute...""]"
16,Whipper Burger at Hawkins House of Burgers,Hawkins House of Burgers,Whipper Burger ,https://www.timeout.com/los-angeles/restaurants/hawkins-house-of-burgers,no rating,http://www.hawkinsburgers.com,'11603 S Slater St Los Angeles 90059',"
When chowing down at Watt’s prized Hawkins House of Burgers, you’ll need to harness that ‘go big or go home’ mentality. Scores of hungry Angelenos line up at this stand turned casual restaurant for American classics at a bargain price. Burgers packed with high quality Angus beef, fresh ingredients and tons of flavor can be smelled down the block. Sure, this no-frills burger joint is vastly informal, but that just spotlights the Fat Chili Cheese Burger, Double Bacon Egg Cheese Burger, and other tasty fares that much more. If you want to give a whack at the Triple burger (that’s three fully stacked burgers piled into one tower for $8.99), go for it—but you’ll need an impressive pack of napkins (and maybe some forks) at the ready.
",BA7TnabiZhm4S5Jv7jbkxA,1421,4.5,"['On Monday open : 0800 close 2200 open overnight : False', 'On Tuesday open : 0800 close 2200 open overnight : False', 'On Wednesday open : 0800 close 2200 open overnight : False', 'On Thursday open : 0800 close 2200 open overnight : False', 'On Friday open : 0800 close 2200 open overnight : False', 'On Saturday open : 0800 close 2200 open overnight : False', 'On Sunday open : 0800 close 2100 open overnight : False']","[""Today was my first time eating here and it won't be the last time.\nI ordered through Postmates, that prices was easy and quick. I couldn't decide if I..."", 'Delicious meal.enjoyed very much.\n\nLoved that you where on the delivery list ...awesome', ""I've been eating here for as long as I can remember. My uncle Clifford use to take his sons, me my sister and brother to eat here as little kids. The jr...""]"
17,The Tripel Burger at the Tripel,the Tripel,The Tripel Burger ,https://www.timeout.com/los-angeles/restaurants/the-tripel,4,http://thetripel.com,'333 Culver Blvd Los Angeles 90293',"
From the same married chefs (Brooke Williamson and Nick Roberts) that opened Hudson House and Playa Provisions, The Tripel has been serving the Playa del Rey community with outstanding craft beer and quality food just a short stroll from the Pacific. Their beer list—or ""Social Lubrication,"" as they call it—rotates regularly, and features breweries like Smog City, Ballast Point and Strand Brewing. Grab a pint and join your fellow beer lovers at one of the communal tables, where you can also nosh on Tripel bites—steamed mussels and clams, the Tripel burger, and balsamic marinated onion rings, to name a few.
",DBsHbGCYAc2-FkIDd_mXUw,873,4.0,"['On Monday open : 1100 close 2200 open overnight : False', 'On Tuesday open : 1100 close 2200 open overnight : False', 'On Wednesday open : 1100 close 2200 open overnight : False', 'On Thursday open : 1100 close 2200 open overnight : False', 'On Friday open : 1100 close 0000 open overnight : False', 'On Saturday open : 1030 close 0000 open overnight : False', 'On Sunday open : 1030 close 2200 open overnight : False']","['Yelp 100 challenge 2020 #4\n\nHands down best burger I have had in a looong time.  I got the pretzel burger and wow!!! I know this place is a bar but I would...', 'Great Brunch Spot. Affordable prices. Bottomless Mimosas. Need I say more.\n\nService is attentive and helpful. \n\nSweet potato tots are great! \n\nCroque Madame...', 'Will a manager please reach out to me. I ordered a lamb b\nBUrger medium for takeout. Took a few bites and  my stomach hurt. I looked at the burger an this...']"
18,Plan Check Burger (PCB) at Plan Check,Plan Check,Plan Check Burger (PCB) ,https://www.timeout.com/los-angeles/restaurants/plan-check-2,4,http://www.plancheck.com,'1111 Wilshire Blvd Los Angeles 90017',"
Plan Check's third location brings fried chicken delicious-ness and one of the best burgers in town to DTLA denizens. But you'll find a few new items as well: a K-BBQ burger topped with kimcheese (gruyere seasoned with dried kimchi), a spicy tuna salad with sriracha vinaigrette, and beast fries, a dish that's as bohemeth is it sounds. Stick around for the restaurant's signature cruller donuts, or sidle up to the bar to nurse a S&L old fashioned while you watch all the pretty Downtown folk stroll by.
",UZlLBVnqs9Ikphin8CMVcA,1185,4.0,"['On Monday open : 1130 close 2100 open overnight : False', 'On Tuesday open : 1130 close 2100 open overnight : False', 'On Wednesday open : 1130 close 2100 open overnight : False', 'On Thursday open : 1130 close 2100 open overnight : False', 'On Friday open : 1130 close 2200 open overnight : False', 'On Saturday open : 1100 close 2200 open overnight : False', 'On Sunday open : 1100 close 2100 open overnight : False']","['I came here with a large party and they were very accommodating to us. I understand it can get very very hectic but they know how to handle it very well. We...', 'This review is for delivery orders - I wish I could give 5 stars but I had to deduct 2 stars for not being consistent and mixing up orders for delivery....', 'I was excited to try this since my buddies live above it and we wanted it to be a great place to make a regular hang out grab food type of thing. \n\nThe...']"
19,The Lowboy at Lowboy,Lowboy,The Lowboy ,https://www.timeout.com/los-angeles/bars/lowboy,no rating,https://lowboybar.com,'1540 Sunset Blvd Los Angeles 90026',"
This is a neighborhood bar, through and through. Unpretentious but elevated, the handful of cocktails lean classic (we're talking mai tais, old-fashioneds and mules), while there's always craft beer and Bud Heavy on draft. Of course the real apple of our eye is the Lowburger, one of the absolute best smashburgers anywhere in town (and available for under 10 bucks). Coupled with a Hall & Oates-heavy playlist, it makes for a sceney (but not too hip) gathering place. 
",fETqhZO6YjM1VTWCJpT8VA,85,4.5,"['On Monday open : 1700 close 0200 open overnight : True', 'On Tuesday open : 1700 close 0200 open overnight : True', 'On Wednesday open : 1700 close 0200 open overnight : True', 'On Thursday open : 1700 close 0200 open overnight : True', 'On Friday open : 1700 close 0200 open overnight : True', 'On Saturday open : 1200 close 0200 open overnight : True', 'On Sunday open : 1200 close 0200 open overnight : True']","['I love Lowboy! They are a great local spot! Was desperately craving a cheeseburger so ordered pickup and it did not disappoint! I was able to have an easy...', ""Still love this spot. The size of this place and the vibe is just awesome. \n\nHad a great gin martini and a couple beers with my wife.\n\nCan't wait to go back."", 'Came here after dinner at Masa Echo Park for a drink with my sister in law and we were super impressed with this cute little place! The aesthetic is dreamy...']"
20,Hamburguesa at Otono,Otono,Hamburguesa ,https://www.timeout.com/los-angeles/restaurants/otonyo,2,https://www.otonorestaurant.com,'5715 N Figueroa St Los Angeles 90042',"
The paucity of authentic—even passable—Spanish dining is one of the great gaps in the L.A. restaurant scene. And, as a man who considers any time he doesn’t spend in Spain as being ever so slightly wasted, word of a new addition is always welcome. I was thrilled to hear that chef Teresa Montaño—whose excellent provenance includes time in Valencia and in the kitchen at Pasadena’s now-shuttered Ración—was planning to open Otoño in Highland Park.
It all begins well enough. The superb drinks list at Otoño includes a commendable gin-and-tonics program, and the Gin & Tonic “Classico” reflects the seriousness with which that iconic cocktail is treated in Spain (the Spaniards drink more gin than any other nation on earth). Meanwhile, a glass of briny Manzanilla came at the perfect chilled temperature. When combined with some of the well-executed standards of the Spanish bar repertoire, there’s a feeling that everything is well with the world. The Boquerones y Mantequilla ($12) elegantly combines the vinegar sharpness of Spain’s beautiful canned anchovies with a rich goat milk butter, while the Gambas a la Plancha ($18), a small plate of griddled blue prawns, came perfectly prepared with a slight char on the shell—and meat cooked to retain a bite. The Croqueta de Jamón ($6)—a fritter filled with serrano ham—and the Croqueta de Setas y Maize ($6)—stuffed with mushroom and sweet corn—are good enough to pass muster in any Madrileño bar.
Once we delved deeper into the menu, however, standards began to decline; our table dismissed the Calamares en Su Tinta ($14) as tough and slimy. Calçots ($11) are traditionally spring onions from the Catalan region, and should be eaten “sword swallower”-style after being dipped in a pungent romesco sauce. The attempt to elevate the dish at Otoño using a single, larger green onion failed, primarily because of the undercooking of the main ingredient and the blandness of the romesco with which it was topped.
Spirits improved with the arrival of the sardines ($18), a single, plump and juicy grilled French sardine served atop escalavida—a layer of smoked grilled vegetables—which combined seafood freshness with the smoky crunch of the vegetables. But, we were quickly disappointed when a tangy green peppercorn sauce couldn’t disguise the fact that the Pollo Ahumado ($20) had been overcooked.
From her time in Spain, chef Montaño will know that a true paella is something to be taken very seriously as a joyous expresser of Valencian identity, which makes it even more disappointing that the arroz dishes at Otoño could best be described as two apologetic pans of over-salted parsimony. While the toppings on both the Mariscos ($32) and the Negra ($32), particularly the scallops on the Negra, show that the kitchen really knows how to cook seafood, the lack of soccarat—that essential layer of crisp rice—and the generous salting meant that what should have been the stars of the show were sadly left unfinished. 
Desserts struggled, too. A Crema Catalana ($10) was overpowered by cinnamon, and a Caña de Cabra cheesecake ($10) had so much salt that I assume it was prepared next to the person who made the rice dishes.
It’s no surprise that a new-ish restaurant is still figuring out its systems, and much can be forgiven for the genuine amiability of the staff. What’s more difficult to explain is the blistering rapidity with which the food arrived from kitchen to table: Our second visit broke records as every dish we ordered was piled onto the table within 20 minutes of ordering, despite requests to staff to slow things down. 
It’s a failing that is often enough to make me cross a restaurant off my list of regulars, but at Otoño it merely served to confirm my regretful belief that the restaurant is, for now, too inconsistent to plug that yawning Spanish gap in the Los Angeles food scene, and certainly doing little to dampen the serious Spain jones of yours truly. I shall continue to wait, although more in hope than expectation.



VITALS
WHERE TO SIT
Otoño is small enough that one table is more or less like any other another, so, arrive early and snag a seat at the bar—that’s where all the action seems to happen.
WHAT TO EAT
For the time being, Otoño best serves as a tapas-only destination. The Pan con Tomate ($5) here has just the right amount of garlic kick; order the Boquerones y Mantequilla; and the Conserva de Atún ($12), house-cured tuna, provides the perfect accompaniment to a glass of Fino. 
WHAT TO DRINK
In addition to the gin and tonics, there’s a sherry selection that not only offers versions across all the appropriate categories, but each is also served at the right temperature. The wine list offers bottles and glasses from some of Spain’s most well-known and lesser-known producing regions, and there’s a list of digestifs that offers Patxaran, a beloved Basque liquor, as well as some of the most wonderful but liver-shuddering brandies that have provided the end to far too many of my nights in Spain. 




VITALS
WHERE TO SIT
Otoño is small enough that one table is more or less like any other another, so, arrive early and snag a seat at the bar—that’s where all the action seems to happen.
WHAT TO EAT
For the time being, Otoño best serves as a tapas-only destination. The Pan con Tomate ($5) here has just the right amount of garlic kick; order the Boquerones y Mantequilla; and the Conserva de Atún ($12), house-cured tuna, provides the perfect accompaniment to a glass of Fino. 
WHAT TO DRINK
In addition to the gin and tonics, there’s a sherry selection that not only offers versions across all the appropriate categories, but each is also served at the right temperature. The wine list offers bottles and glasses from some of Spain’s most well-known and lesser-known producing regions, and there’s a list of digestifs that offers Patxaran, a beloved Basque liquor, as well as some of the most wonderful but liver-shuddering brandies that have provided the end to far too many of my nights in Spain. 


VITALS
WHERE TO SIT
Otoño is small enough that one table is more or less like any other another, so, arrive early and snag a seat at the bar—that’s where all the action seems to happen.
WHAT TO EAT
For the time being, Otoño best serves as a tapas-only destination. The Pan con Tomate ($5) here has just the right amount of garlic kick; order the Boquerones y Mantequilla; and the Conserva de Atún ($12), house-cured tuna, provides the perfect accompaniment to a glass of Fino. 
WHAT TO DRINK
In addition to the gin and tonics, there’s a sherry selection that not only offers versions across all the appropriate categories, but each is also served at the right temperature. The wine list offers bottles and glasses from some of Spain’s most well-known and lesser-known producing regions, and there’s a list of digestifs that offers Patxaran, a beloved Basque liquor, as well as some of the most wonderful but liver-shuddering brandies that have provided the end to far too many of my nights in Spain. 
",ktMHBqMj5XNfNIKdCI9GRg,329,4.0,"['On Thursday open : 1200 close 2000 open overnight : False', 'On Friday open : 1200 close 2000 open overnight : False', 'On Saturday open : 1200 close 2000 open overnight : False', 'On Sunday open : 1200 close 2000 open overnight : False']","[""I led a writing workshop at Oxy a few weeks back, and my friend Désirée Z. took me to dinner at Otoño afterward on the college's dime. We had an 8:30 or..."", ""Unfortunately, I have not been to Otono's prior to the quarantine. However, I'm so glad that I was able to purchase their black sourdough bread, their red..."", ""Chef Theresa will guide you through building you own take out selection. Pair it with a delicious Pinot and you won't mind the home quarantine. Please...""]"
21,The Belcampo Burger at Belcampo Meat Co.,Belcampo Meat Co.,The Belcampo Burger ,https://www.timeout.com/los-angeles/restaurants/belcampo-meat-co,4,http://www.belcampomeatco.com,'Grand Central Market 317 S Broadway Los Angeles 90013',"
Serving as both a butcher shop and a burger joint, Belcampo Meat Co. has expanded to Downtown's Grand Central Market, offering customers a solid lunch spot to grab a burger, pulled pork sandwich, or maybe even pick up a pound of ground beef to bring home. The company prides itself on sustainable, organic meat, a practice that is readily apparent as soon as you bite into one of their famed cheeseburgers. Oh, and they make their own vinegar slaw, ketchup and aioli, so everything tastes like it was whipped up just for you.
",ZZ3fF9j-pEfZvvif1fLlfw,514,4.0,"['On Monday open : 1100 close 2000 open overnight : False', 'On Tuesday open : 1100 close 2000 open overnight : False', 'On Wednesday open : 1100 close 2000 open overnight : False', 'On Thursday open : 1100 close 2000 open overnight : False', 'On Friday open : 1100 close 2000 open overnight : False', 'On Saturday open : 1100 close 2000 open overnight : False', 'On Sunday open : 1100 close 2000 open overnight : False']","['I love this place!!! I have always been a huge fan of their burgers. There is so much to choose from. I am glad there are open during this quarantine. Would...', ""Yum always delicious And on time! I'm grateful we can get  nourished with this business though quarantine."", 'Belcampo has one of the best burgers in LA!  I recently ordered the Double Fast Burger, fries and a side kale salad. Not only was everything delicious, but...']"
22,Napalm Death at Grill 'Em All,Grill 'Em All,Napalm Death ,https://www.timeout.com/los-angeles/restaurants/grill-em-all,5,http://grillemallburgs.com,'19 E Main St Alhambra 91801',"
Alhambra’s metal-themed, meat-slinging burger shop doesn’t serve a single patty that’s not obscenely dressed. There’s the Dee Snider, smothered in peanut butt, jam, bacon and sriracha; and the Exciter, made with duck confit, frise, herb goat cheese and cranberry gastrique. But the Napalm Death ($12) tops them all: a medium-rare, half-pound patty drenched in gooey pepperjack, pickled jalapeños and cream cheese, topped off with fried jalapeño poppers and habanero aioli. It’s what we’ll dine on when the valkyries carry us over the rainbow bridge to Valhalla (which may be because it kills us as we’re eating it).
",53UyLtU4F7seRkPfL6TY6Q,2416,4.0,"['On Monday open : 1100 close 2100 open overnight : False', 'On Tuesday open : 1100 close 2100 open overnight : False', 'On Wednesday open : 1100 close 2100 open overnight : False', 'On Thursday open : 1100 close 2100 open overnight : False', 'On Friday open : 1100 close 2100 open overnight : False', 'On Saturday open : 1100 close 2100 open overnight : False', 'On Sunday open : 1100 close 2100 open overnight : False']","[""I cannot even explain how incredibly amazing this burger is!!! Since this whole covid19 situation we've had to order in a few times from different places..."", ""I go here once in a while and I've always had a great experience. Went to get takeout on Friday due to covid-19 and had great service and felt safe. I want..."", 'The best people and the best place to just kick back with a great brew and an amazing burg! In times like these we need to support the people who will be...']"
23,Cheeseburger at Burgerlords,Burgerlords,Cheeseburger ,https://www.timeout.com/los-angeles/restaurants/burgerlords,no rating,http://www.burgerlords.com,'943 North Broadway #102 Los Angeles 90012',"
Fred and Max Guerrero grew up obsessed with burgers as the kids of the founder of local fast-casual burger chain Oinkster. They turned that obsession into a Tumblr called Burgerlords which eventually inspired this IRL eatery (and its sister cafe in Highland Park). The idea is a retro-style burger stand with a menu almost as simple as In-N-Out's, but updated and upgraded. Burgers here feature a custom tri-blend grass-fed beef (or a housemade vegan patty alternative) with classic toppings. On the side, your choices are fries or the 'Lord of the Fries,' a rather Animal-style-esque combo of fries with melted cheese, grilled onions and thousand island dressing (a dairy-free version is also available). 
",ierxTDAcyBrBXFyMadrAlA,778,4.0,"['On Tuesday open : 1100 close 2200 open overnight : False', 'On Wednesday open : 1100 close 2200 open overnight : False', 'On Thursday open : 1100 close 2200 open overnight : False', 'On Friday open : 1100 close 2200 open overnight : False', 'On Saturday open : 1100 close 2200 open overnight : False', 'On Sunday open : 1100 close 2200 open overnight : False']","['I have been wanting to try this place for a long time since a lot of people hype this place up. A vegan friend of mine was visiting town so I thought this...', 'One word... ""DELICIOUS!""\n\nBest vegan shakes I\'ve ever had. Vegan nuggets were amazing. They make the vegan patties themselves, and those are absolutely...', 'Well today I find myself in Chinatown and hungry.  Not feeling Chinese food today, I remembered a co-worker told me about this place, so here is my...']"
24,Two-Hand Burger at Herringbone Santa Monica,Herringbone Santa Monica,Two-Hand Burger ,https://www.timeout.com/los-angeles/restaurants/herringbone-santa-monica,5,http://herringboneeats.com/santa-monica/ringboneeats.com,'1755 Ocean Ave Los Angeles',"
With a successful Herringbone location in West Hollywood, the second location in Santa Monica is that much closer to the ocean, where most of its menu draws its inspiration from. Shuck a few oysters, crack open a whole lobster and let the East Coast come to you.
",9ae3kb6ARyagx2Dr96vupA,798,4.0,"['On Monday open : 1600 close 2200 open overnight : False', 'On Tuesday open : 1600 close 2200 open overnight : False', 'On Wednesday open : 1600 close 2200 open overnight : False', 'On Thursday open : 1600 close 2200 open overnight : False', 'On Friday open : 1600 close 2300 open overnight : False', 'On Saturday open : 1000 close 2300 open overnight : False', 'On Sunday open : 1000 close 2100 open overnight : False']","['Good oysters\n\nThe Beni was delicious\n\n\nFor the bottomless mimosas\nThey need to refill properly and when I say refill the waitress only filled our glasses...', 'Had an excellent brunch here this weekend. Bottomless mimosas or rose for $25, consider it done! Make sure to arrive with enough time to take advantage of...', ""1.5 rating!! It was Valentine's Day so my bf called & asked if there was a wait for 2 people. The hostess asked to put us on hold so she could check....""]"
